id,Name,Description,Price,Cost,Type,Category,"Model #",Brand,Booking,Inventory,Taxable
1041,"Multiple Services Discount",,'-100.00,0.00,service,,,,0,0,0
1042,"Cob Web Cleaning",,55.00,0.00,service,,,,0,0,0
1028,"Xero WET SCREEN Cleaner","A Cleaning service for your Screens. The device is similar to a car wash for your screens. Not only cleans the mesh but also scrubs the frames of the screens. Gets the fine dirt particles out of the screen.",49.00,0.00,service,,,,0,0,0
1043,Quote,"Provide in person quote to client",0.00,0.00,service,,,,0,0,0
1044,"Clean Patio Cover",,275.00,0.00,service,,,,0,0,0
1045,"Commercial Window Cleaning",,50.00,0.00,service,,,,0,0,0
1046,"Screen Doors",,275.00,0.00,service,,,,0,0,0
1047,"Screen Door Grille",,70.00,0.00,service,,,,0,0,0
1048,"Install New Track","This is dependent upon the measurements I will take - See note at bottom of estimate. If the solution I researched does not fit your threshold, there is no charge.",45.00,0.00,service,,,,0,0,0
1049,"Rush Priority Service",,50.00,0.00,service,,,,0,0,0
1050,"Senior Discount","10% Senior Discount",'-15.00,0.00,service,,,,0,0,0
1051,"Hard Water Stain Removal",,75.00,0.00,service,,,,0,0,0
1052,Tracks,,20.00,0.00,service,,,,0,0,0
1053,"Shower Glass",,25.00,0.00,service,,,,0,0,0
1054,"Weekend Appointment",,25.00,0.00,service,,,,0,0,0
1055,"French Door Or Window",,1.75,0.00,service,,,,0,0,0
1056,"Dry Brush Screens",,30.00,0.00,service,,,,0,0,1
1057,"Weather Stripping - Bug Flap",,20.00,0.00,service,,,,0,0,0
1058,"Sky Light",,15.00,0.00,service,,,,0,0,0
1059,"Screen Door Wheels",,20.00,0.00,service,,,,0,0,0
1061,"Clean Plexi Glass","Remove from house, clean both sides and put back on house - Customer to supply cleaner",20.00,0.00,service,,,,0,0,0
1062,"Construction Cleanup",,75.00,0.00,service,,,,0,0,0
1063,"Outside Windows Only",,100.00,0.00,service,,,,0,0,0
1064,"Velasquez Interiors",,100.00,0.00,service,,,,0,0,0
1065,"Windows Full",,100.00,0.00,service,,,,0,0,0
1066,"First Story Window Panes - Inside & Outside",,5.00,0.00,service,,,,0,0,0
1067,"Vacuum Tracks",,30.00,0.00,service,,,,0,0,0
1068,"Shower Enclosure","This price is PER shower enclosure",25.00,0.00,service,,,,0,0,0
1069,"Pre-Soak Panels",,30.00,0.00,service,,,,0,0,0
1070,"Soft Wash","Soft Wash Home",100.00,0.00,service,,,,0,0,0
1073,"Workiz service fee","Workiz service fee",1.00,1.00,service,,1,,0,0,0
1074,"Workiz tip","Workiz tip",1.00,1.00,service,,1,,0,0,0
1076,Miscellaneous,,100.00,0.00,service,,,,0,0,0
1077,"Install Screen Door & Delivery",,0.00,0.00,service,,,,0,0,0
1078,"Touch Up","Back and side windows after rain",0.00,0.00,product,,,,0,0,0
1075,"Solar Panel Cleaning - First Story",,5.00,0.00,service,,,,0,0,0
